Resp	Age	HHIncome	HHCars	Mode
1	5	4000	2	1
2	2	6000	1	1
3	3	3000	3	1
4	6	2000	2	1
5	7	1500	2	2
6	10	4000	2	1
7	5	6000	2	1
8	2	3000	2	1
9	3	2000	1	1
10	6	1500	3	3
11	7	4000	2	1
12	10	6000	2	1
13	5	3000	2	1
14	2	2000	2	2
15	3	1500	2	1
16	6	4000	1	1
17	7	6000	3	1
18	10	3000	2	1
19	5	2000	2	1
20	2	1500	2	1
21	3	4000	2	1
22	6	6000	2	1
23	7	3000	1	1
24	10	2000	3	1
25	5	3000	1	1
26	20	2000	1	1
27	27	4000	0	2
28	23	1000	0	3
29	28	1500	0	3
30	21	1000	1	2
31	20	2000	0	2
32	27	4000	0	3
33	23	1000	2	1
34	28	1500	0	2
35	21	1000	0	3
36	20	2000	0	2
37	27	4000	0	3
38	23	1000	0	2
39	28	1500	1	1
40	21	1000	0	2
41	20	2000	0	3
42	27	4000	2	1
43	23	1000	1	1
44	28	1500	1	1
45	21	1000	0	3
46	20	2000	0	3
47	27	4000	0	3
48	23	1000	1	1
49	28	1500	0	2
50	21	1000	2	1
51	30	4000	2	1
52	35	6000	2	1
53	48	3000	1	1
54	50	2000	3	2
55	34	1500	2	1
56	30	4000	2	1
57	35	6000	2	1
58	48	3000	2	1
59	50	2000	2	3
60	34	1500	1	1
61	30	4000	3	1
62	35	6000	2	1
63	48	3000	1	2
64	50	2000	3	1
65	34	1500	2	1
66	30	4000	2	1
67	35	6000	2	1
68	48	3000	2	1
69	50	2000	2	1
70	34	1500	1	1
71	30	4000	3	1
72	35	6000	2	1
73	48	3000	1	1
74	50	2000	3	1
75	34	3000	2	3
76	50	4000	1	3
77	56	6000	2	3
78	69	3000	0	1
79	80	2000	0	2
80	73	1500	1	3
81	67	4000	0	1
82	76	6000	1	3
83	50	3000	2	3
84	56	2000	0	1
85	69	1500	0	3
86	80	4000	0	3
87	73	6000	0	3
88	67	3000	0	2
89	76	2000	0	3
90	50	1500	1	1
91	56	4000	1	1
92	69	6000	1	2
93	80	3000	0	3
94	73	2000	0	2
95	67	1500	0	2
96	76	4000	0	3
97	50	6000	1	1
98	56	3000	1	1
99	69	2000	1	1
100	80	3000	0	3
				
				
				
				
				
